hora,data,umidade_solo,umidade,temperatura
17:52:04,08/03/2022,591.00,66.00,26.00
17:52:06,08/03/2022,591.00,66.00,26.00
17:52:09,08/03/2022,591.00,66.00,26.00
17:52:11,08/03/2022,592.00,66.00,26.00
17:52:13,08/03/2022,591.00,66.00,26.00
17:52:16,08/03/2022,591.00,66.00,26.00
17:52:18,08/03/2022,591.00,66.00,26.00
17:52:20,08/03/2022,591.00,65.00,26.00
17:52:22,08/03/2022,591.00,65.00,26.00
17:52:25,08/03/2022,590.00,65.00,26.00
17:52:27,08/03/2022,591.00,65.00,26.00
17:52:29,08/03/2022,591.00,65.00,26.00
17:52:32,08/03/2022,591.00,65.00,26.00
17:52:34,08/03/2022,591.00,66.00,26.00
17:52:36,08/03/2022,591.00,66.00,26.00
17:52:39,08/03/2022,591.00,66.00,26.00
17:52:41,08/03/2022,591.00,66.00,26.00
17:52:43,08/03/2022,591.00,67.00,26.00
17:52:46,08/03/2022,591.00,67.00,26.00
17:52:48,08/03/2022,591.00,68.00,26.00
17:52:50,08/03/2022,592.00,67.00,26.00
17:52:52,08/03/2022,591.00,67.00,26.00
17:52:55,08/03/2022,591.00,67.00,26.00
17:52:57,08/03/2022,591.00,67.00,26.00
17:52:59,08/03/2022,592.00,67.00,26.00
17:53:02,08/03/2022,591.00,67.00,26.00
17:53:04,08/03/2022,591.00,68.00,26.00
17:53:06,08/03/2022,591.00,67.00,26.00
17:53:09,08/03/2022,591.00,67.00,26.00
17:53:11,08/03/2022,591.00,67.00,26.00
17:53:13,08/03/2022,592.00,67.00,26.00
17:53:16,08/03/2022,592.00,66.00,26.00
17:53:18,08/03/2022,1000.00,66.00,26.00
17:53:20,08/03/2022,1000.00,65.00,26.00
17:53:22,08/03/2022,1000.00,65.00,26.00
17:53:25,08/03/2022,999.00,65.00,26.00
17:53:27,08/03/2022,1001.00,65.00,26.00
17:45:03,08/03/2022,999.00,65.00,26.00
17:45:06,08/03/2022,1000.00,64.00,26.00
17:45:08,08/03/2022,1000.00,64.00,26.00
17:45:10,08/03/2022,1000.00,64.00,26.00
17:45:13,08/03/2022,1000.00,64.00,26.00
17:45:15,08/03/2022,1001.00,64.00,26.00
17:45:17,08/03/2022,1001.00,64.00,26.00
17:45:19,08/03/2022,1000.00,64.00,26.00
17:45:22,08/03/2022,1000.00,64.00,26.00
17:45:24,08/03/2022,1001.00,64.00,26.00
17:45:26,08/03/2022,1000.00,63.00,26.00
17:45:29,08/03/2022,1000.00,63.00,26.00
17:45:31,08/03/2022,1001.00,63.00,26.00
17:45:33,08/03/2022,1000.00,63.00,26.00
17:45:36,08/03/2022,1000.00,63.00,26.00
17:45:38,08/03/2022,1001.00,63.00,26.00
17:45:40,08/03/2022,1000.00,63.00,26.00
17:45:43,08/03/2022,1001.00,63.00,26.00
17:45:45,08/03/2022,1000.00,63.00,26.00
17:45:47,08/03/2022,1000.00,63.00,26.00
17:45:49,08/03/2022,1000.00,63.00,26.00
17:45:52,08/03/2022,1000.00,64.00,26.00
17:45:54,08/03/2022,1001.00,63.00,26.00
17:45:56,08/03/2022,1001.00,64.00,26.00
17:45:59,08/03/2022,1000.00,63.00,26.00
17:46:01,08/03/2022,1000.00,64.00,26.00
17:46:03,08/03/2022,1000.00,64.00,26.00
17:46:06,08/03/2022,1001.00,64.00,26.00
17:46:08,08/03/2022,1000.00,65.00,26.00
17:46:10,08/03/2022,1001.00,65.00,26.00
17:46:13,08/03/2022,1000.00,65.00,26.00
17:46:15,08/03/2022,1001.00,65.00,26.00
17:46:17,08/03/2022,1000.00,66.00,26.00
17:46:19,08/03/2022,1001.00,66.00,26.00
17:46:22,08/03/2022,1001.00,65.00,26.00
17:46:24,08/03/2022,1000.00,65.00,26.00
17:46:26,08/03/2022,1001.00,65.00,26.00
17:46:29,08/03/2022,1001.00,65.00,26.00
17:46:31,08/03/2022,1001.00,65.00,26.00
17:46:33,08/03/2022,1000.00,65.00,26.00
17:46:36,08/03/2022,1000.00,66.00,26.00
17:46:38,08/03/2022,1001.00,66.00,26.00
17:46:40,08/03/2022,1001.00,66.00,26.00
17:46:43,08/03/2022,1001.00,66.00,26.00
17:46:45,08/03/2022,1001.00,66.00,26.00
17:46:47,08/03/2022,1001.00,67.00,26.00
17:46:49,08/03/2022,1001.00,67.00,26.00
17:46:52,08/03/2022,1001.00,67.00,26.00
17:46:54,08/03/2022,1001.00,67.00,26.00
17:46:56,08/03/2022,1001.00,66.00,26.00
17:46:59,08/03/2022,1001.00,66.00,26.00
17:47:01,08/03/2022,1001.00,65.00,26.00
17:47:03,08/03/2022,1001.00,65.00,26.00
17:47:06,08/03/2022,1001.00,65.00,26.00
17:47:08,08/03/2022,1001.00,65.00,26.00
17:47:10,08/03/2022,1001.00,65.00,26.00
17:47:13,08/03/2022,1000.00,65.00,26.00
17:47:15,08/03/2022,1000.00,65.00,26.00
17:47:17,08/03/2022,1001.00,65.00,26.00
17:47:19,08/03/2022,1001.00,66.00,26.00
17:47:22,08/03/2022,1001.00,67.00,26.00
17:47:24,08/03/2022,1000.00,67.00,26.00
17:47:26,08/03/2022,1001.00,67.00,26.00
17:47:29,08/03/2022,1002.00,67.00,26.00
17:47:31,08/03/2022,1001.00,67.00,26.00
17:47:33,08/03/2022,1001.00,67.00,26.00
